Sted	Fosfor
Smaaland	23.2
Smaaland	29
Smaaland	26.3
Smaaland	18.5
Smaaland	7
Smaaland	7.825
Smaaland	12.68
Smaaland	23.5
Smaaland	10.2
Smaaland	28.9
Smaaland	10.6
Smaaland	9.733
Smaaland	25
Smaaland	11.4
Smaaland	15.5
Smaaland	46.25
Smaaland	11.2
Smaaland	20
Smaaland	18
Smaaland	9.6
Smaaland	17
Smaaland	13.8
Smaaland	13.65
Smaaland	8
Smaaland	11
Smaaland	24
Smaaland	29.51
Smaaland	39
Smaaland	13
Smaaland	16
Smaaland	6
Smaaland	23
Smaaland	28.5
Smaaland	12
Smaaland	20
Smaaland	16.99
Smaaland	6
Smaaland	7
Smaaland	10
Smaaland	9
Smaaland	15
Smaaland	24
Smaaland	22.872
Smaaland	20.636
Smaaland	24.7
Smaaland	6.34
Smaaland	12.84
Smaaland	12.1
Smaaland	14.5
Smaaland	11.488
Smaaland	27.9
Smaaland	15.979
Smaaland	11
Smaaland	6.1
Smaaland	76
Smaaland	10.4
Smaaland	13.7
Smaaland	14.8
Smaaland	9
Smaaland	8
Smaaland	15
Smaaland	37.5
Smaaland	11
Smaaland	10.8
Smaaland	10
Smaaland	7.4
Smaaland	9
Smaaland	20
Smaaland	10
Smaaland	22.95
Smaaland	12
Smaaland	16.7
Smaaland	12.6
Smaaland	6
Smaaland	9.8
Smaaland	14.2
Smaaland	6
Smaaland	23
Smaaland	5.965
Smaaland	12
Smaaland	17.4
Smaaland	16.5
Smaaland	17.4
Smaaland	27.438
Smaaland	15
Smaaland	10.5
Smaaland	32
Smaaland	30.4
Smaaland	68.2
Smaaland	9
Smaaland	20
Smaaland	49
Smaaland	11.6
Smaaland	13.2
Smaaland	26.6
Smaaland	11.9
Smaaland	14.15
Smaaland	16.2
Smaaland	23
Smaaland	15.5
Smaaland	22
Smaaland	11
Smaaland	15.2
Smaaland	18
Smaaland	11.833
Smaaland	17
Smaaland	15.3
Smaaland	24.4
Smaaland	6
Smaaland	8.525
Smaaland	9.6
Smaaland	11.4
Smaaland	7.4
Smaaland	10
Smaaland	10
Smaaland	16.6
Smaaland	19.4
Smaaland	29.3
Smaaland	20
Smaaland	9.4
Smaaland	75.7
Smaaland	20.395
Smaaland	19
Smaaland	7.75
Smaaland	17.6
Smaaland	7.57
Smaaland	26.6
Smaaland	20.5
Smaaland	20.4
Smaaland	15.6
Smaaland	11
Smaaland	11.4
Smaaland	10
Smaaland	19.7
Smaaland	11
Smaaland	56
Smaaland	18.1
Smaaland	22.5
